zipcode_id,zipcode,city,state,population
1,60302,Chicago,IL,NULL
2,60434,Chicago,IL,NULL
3,60586,Chicago,IL,NULL
4,60601,Chicago,IL,15083
5,60602,Chicago,IL,1145
6,60603,Chicago,IL,1052
7,60604,Chicago,IL,823
8,60605,Chicago,IL,29060
9,60606,Chicago,IL,3287
10,60607,Chicago,IL,29293
11,60608,Chicago,IL,80059
12,60609,Chicago,IL,60939
13,60610,Chicago,IL,40548
14,60611,Chicago,IL,33224
15,60612,Chicago,IL,33735
16,60613,Chicago,IL,50761
17,60614,Chicago,IL,71954
18,60615,Chicago,IL,40590
19,60616,Chicago,IL,54197
20,60617,Chicago,IL,83553
21,60618,Chicago,IL,94907
22,60619,Chicago,IL,61207
23,60620,Chicago,IL,67711
24,60621,Chicago,IL,28018
25,60622,Chicago,IL,53294
26,60623,Chicago,IL,81283
27,60624,Chicago,IL,34892
28,60625,Chicago,IL,79444
29,60626,Chicago,IL,50544
30,60628,Chicago,IL,64254
31,60629,Chicago,IL,110029
32,60630,Chicago,IL,56433
33,60631,Chicago,IL,29529
34,60632,Chicago,IL,89857
35,60633,Chicago,IL,12689
36,60634,Chicago,IL,75082
37,60636,Chicago,IL,30024
38,60637,Chicago,IL,47300
39,60638,Chicago,IL,58669
40,60639,Chicago,IL,88204
41,60640,Chicago,IL,69363
42,60641,Chicago,IL,69880
43,60642,Chicago,IL,19716
44,60643,Chicago,IL,48887
45,60644,Chicago,IL,46591
46,60645,Chicago,IL,47270
47,60646,Chicago,IL,28569
48,60647,Chicago,IL,87633
49,60649,Chicago,IL,46633
50,60651,Chicago,IL,63492
51,60652,Chicago,IL,43447
52,60653,Chicago,IL,33154
53,60654,Chicago,IL,20022
54,60655,Chicago,IL,28569
55,60656,Chicago,IL,28218
56,60657,Chicago,IL,70958
57,60659,Chicago,IL,42735
58,60660,Chicago,IL,44498
59,60661,Chicago,IL,10354
60,60666,Chicago,IL,NULL
61,60707,Chicago,IL,NULL
62,60827,Chicago,IL,NULL
